	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
541	769.87	9.8184e-004	86.399	
542	770.08	9.8147e-004	86.313	
543	770.2	9.8124e-004	86.261	
544	770.28	9.811e-004	86.231	
545	770.33	9.8101e-004	86.212	
546	770.41	9.8088e-004	86.182	
547	770.49	9.8075e-004	86.153	
548	770.53	9.8066e-004	86.135	
549	770.61	9.8053e-004	86.106	
550	770.74	9.8033e-004	86.061	
551	770.94	9.8002e-004	85.989	
552	771.28	9.7957e-004	85.881	
553	771.82	9.7903e-004	85.722	
554	772.7	9.7881e-004	85.502	
555	774.13	9.8052e-004	85.204	
556	776.45	9.8853e-004	84.7	
557	777.7	9.9465e-004	84.354	
558	778.88	1.0009e-003	83.961	
559	781.21	1.0123e-003	83.02	
560	782.66	1.0172e-003	82.408	
561	783.55	1.0194e-003	82.067	
562	784.1	1.0204e-003	81.884	
563	784.44	1.021e-003	81.783	
564	784.65	1.0214e-003	81.727	
565	784.78	1.0216e-003	81.694	
566	784.86	1.0217e-003	81.675	
567	784.91	1.0218e-003	81.663	
568	784.99	1.022e-003	81.645	
569	785.07	1.0221e-003	81.627	
570	785.12	1.0222e-003	81.617	
571	785.2	1.0223e-003	81.6	
572	785.33	1.0226e-003	81.574	
573	785.54	1.023e-003	81.536	
574	785.88	1.0237e-003	81.482	
575	786.43	1.0252e-003	81.419	
576	787.33	1.0286e-003	81.369	
577	788.78	1.0373e-003	81.376	
578	791.15	1.0607e-003	81.401	
579	794.99	1.1191e-003	80.982	
580	801.23	1.2581e-003	78.793	
581	806.19	1.4183e-003	75.602	
582	810.62	1.6201e-003	71.15	
583	816.98	2.0678e-003	59.748	
584	820.95	2.458e-003	46.826	
585	823.41	2.6926e-003	35.187	
586	824.94	2.7904e-003	26.481	
587	825.88	2.8173e-003	20.647	
588	826.46	2.8181e-003	16.934	
589	826.82	2.8122e-003	14.619	
590	827.04	2.806e-003	13.188	
591	827.18	2.8013e-003	12.305	
